Architecture,Train RMSE,Validation RMSE,Test RMSE,Parameters,Iterations
A,0.8411955997670043,0.8478235391545667,0.8448575677912572,1345,26
B,0.8401964979817704,0.8494080938047074,0.846835252191131,10881,17
C,0.8383648932570343,0.8494686987265821,0.8464143327355406,46337,14
