learning_rate,max_depth,CV AUC Mean,CV AUC Std
0.1,3,0.9774044950895375,0.0010851580015809575
0.05,4,0.9767023106240791,0.0013951396373091513
0.05,3,0.9766187659432048,0.0011745495533058688
0.1,4,0.9763187392696635,0.0012246701698125086
0.05,5,0.9762707784868233,0.001218422841716934
0.1,5,0.9752900956992809,0.0006375148087869134
0.01,5,0.9741697320363059,0.0014209386529075308
0.01,4,0.9727698405537358,0.0013893718079184692
0.01,3,0.9698361881237065,0.0014072222950295371
