learning_rate,max_depth,CV RMSE Mean,CV RMSE Std
0.1,3,0.8492269277972415,0.003577051476289071
0.05,4,0.8492471092773272,0.003458546480975447
0.05,5,0.8493113192445648,0.003679478525588873
0.1,4,0.8499237792998187,0.0034423653791304585
0.1,5,0.8507358764806247,0.0034913613124256796
0.05,3,0.8510809225161781,0.0035061690001044
0.01,5,0.9081692730583398,0.001725354889295969
0.01,4,0.9263052401964341,0.0012333050266493328
0.01,3,0.9568662076764823,0.0009035778117154535
