Tree Type,Best Depth,Train Metric,Test Metric,Metric Name,Test RMSE / AUC,Root Split Feature,Root Threshold,Number of Leaves
Regression,9,0.7209,0.6946,R-squared,0.919,stress_level,0.3531,512
Classification,6,0.9861,0.9861,Accuracy,0.9634,stress_level,2.1161,63
