param_C,param_gamma,mean_test_score,std_test_score,mean_train_score
0.1,0.01,0.9773038644503906,0.007669705826528053,0.9802405397233889
0.1,auto,0.8772932856386264,0.030474042169691937,0.9534054099882565
0.1,scale,0.8772663967849468,0.030313256457791524,0.953374418886
1.0,0.01,0.9772629011300344,0.007758288677005019,0.9801336634384128
1.0,auto,0.8792164446645542,0.030855588040326457,0.9621726021327472
1.0,scale,0.8792280262227138,0.03080454139951841,0.9621964096539337
10.0,0.01,0.9665323835013628,0.010376879532498795,0.9797573890141408
10.0,auto,0.9132439909472568,0.015103636807947001,0.9971430885233643
10.0,scale,0.9132498139248184,0.015090423502324393,0.9971461665724497
